name,price,reviews,ratings,processor,memory,display,gpu,bettery
HP 14s-dy5005TU Laptop (14 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹54,990</span>",4.1/5,"2,897 Ratings","Intel Core i5-1235U (12th Gen), 4.2 Ghz Processor",16 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) OLED Display With Touchscreen,Intel Iris Xe GPU,65W Adapter
Lenovo Ideapad Gaming 3 15IHU6 (82K101GSIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹50,990</span>",4.3/5,"6,027 Ratings","Intel Core i5-11300H (11th Gen), 2.5 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","135W, Upto 8 Hrs Battery Life"
Dell Inspiron 15 3525 (D560765WIN9S) Laptop (15.6 Inch | AMD Dual Core Athlon | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",4.0/5,322 Ratings,AMD Dual Core Athlon Silver-3050U Processor,8 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,AMD Radeon GPU,65W Adapter
HP 15s-eq2182AU (6K7U2PA) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹41,499</span>",4.2/5,"4,670 Ratings","AMD Hexa Core Ryzen 5 - 5500U, 4.0 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,"65W, Upto 9 Hrs Battery Life"
Dell G15 5530 (GN5530N7HY001ORB1O) Laptop (15.6 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 1 TB SSD),"<span class=""price txt-w-b"">₹78,990</span>",4.0/5,633 Ratings,"Intel Core i5-13450HX (13th Gen), 4.7 Ghz Processor",16 GB RAM | 1 TB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 6 GB VRAM","240W, Upto 6 Hrs Battery Life"
Tecno MEGABOOK T1 Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹47,999</span>",4.1/5,979 Ratings,"Intel Core i5-1155G7 (11th Gen), 4.7 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 17.5 Hrs Battery Life"
Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹72,990</span>",4.0/5,935 Ratings,"Intel Core i5-12500H (12th Gen), 3.3 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM","56W, Upto 10 Hrs Battery Life"
Infinix INBook X1 Pro XL12 Laptop (14 Inch | Core i7 10th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹57,999</span>",3.9/5,449 Ratings,"Intel Core i7-1065G7 (10th Gen), 1.3 Ghz Processor",16 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LCD Display,Intel Iris Plus GPU,65W Adapter
Reliance JioBook (NB1112MM) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Jio OS |),"<span class=""price txt-w-b"">₹16,499</span>",3.2/5,283 Ratings,"Mediatek MT8788, 2.0 Ghz Processor",4 GB RAM,11.6″ (29.46 cm) Display,MediaTek Integrated GPU,Upto 8 Hrs Battery Life
Apple MacBook Air MRXV3HN/A M3 Ultrabook (13.6 Inch | Apple M3 | 8 GB | macOS Sonoma | 256 GB SSD),"<span class=""price txt-w-b"">₹114,900</span>",4.6/5,219 Ratings,Apple M3 Chip Processor,8 GB RAM | 256 GB SSD Storage,13.6″ (34.54 cm) Display,"30W, Upto 18 Hrs Battery Life",macOS Sonoma
